Time,Temperature,pH,Turbidity,DissolvedOxygen
15:08.7,25.95,9.14,247.53,2.29
15:09.1,25.95,9.14,247.53,2.29
15:09.4,25.95,9.14,247.53,2.29
15:09.8,25.95,9.14,247.53,2.29
15:10.2,25.94,9.14,247.53,2.29
15:10.5,25.94,9.14,247.53,2.29
15:10.9,25.94,9.14,247.53,2.29
15:11.3,25.95,9.14,247.53,2.29
15:11.6,25.95,9.14,247.53,2.29
15:12.0,25.95,9.14,247.53,2.29
15:12.4,25.95,9.14,247.53,2.29
15:12.7,25.96,9.14,247.53,2.29
15:13.1,25.96,9.14,247.53,2.29
15:13.5,25.96,9.14,247.53,2.29
15:13.8,25.96,9.77,247.53,2.29
15:14.2,25.96,9.77,247.53,2.29
15:14.6,25.96,9.59,247.53,2.29
15:14.9,25.96,9.59,247.53,2.29
15:15.3,25.96,9.59,247.53,2.29
15:15.6,25.96,9.43,247.53,2.29
15:16.0,25.96,9.43,247.53,2.29
15:16.4,25.96,9.43,247.53,2.29
15:16.7,25.96,9.28,247.53,2.29
15:17.1,25.96,9.28,247.53,2.29
15:17.5,25.96,9.28,247.53,2.29
15:17.8,25.96,9.14,247.53,2.29
15:18.2,25.96,9.14,247.53,2.29
15:18.5,25.96,9.14,247.6,2.29
15:18.9,25.96,9.14,247.6,2.29
15:19.3,25.96,9.14,247.6,2.29
15:19.6,25.96,9.14,247.67,2.29
15:20.0,25.96,9.14,247.67,2.29
15:20.4,25.96,9.14,247.67,2.29
15:20.7,25.96,9.14,247.73,2.29
15:21.1,25.96,9.14,247.73,2.29
15:21.4,25.96,9.14,247.73,2.29
15:21.8,25.96,9.14,247.84,2.29
15:22.2,25.96,9.14,247.84,2.29
15:22.5,25.96,9.14,247.88,2.29
15:22.9,25.96,9.14,247.88,2.29
15:23.3,25.96,9.14,247.88,2.29
15:23.6,25.96,9.14,247.92,2.29
15:24.0,25.96,9.14,247.92,2.29
15:24.3,25.96,9.14,247.92,2.29
15:24.7,25.96,9.14,247.92,2.29
15:25.0,25.96,9.14,247.92,2.29
15:25.4,25.96,9.14,247.92,2.29
15:25.8,25.96,9.14,247.92,2.29
15:26.1,25.96,9.14,247.92,2.29
15:26.5,25.96,9.14,247.92,2.29
15:26.9,25.96,9.14,247.92,2.29
15:27.2,25.96,9.14,247.92,2.29
15:27.6,25.96,9.14,247.92,2.29
15:28.0,25.96,9.14,247.92,2.29
15:28.3,25.96,9.14,247.92,2.29
15:28.7,25.96,9.14,247.92,2.29
15:29.1,25.96,9.14,247.92,2.29
15:29.4,25.96,9.14,247.92,2.29
15:29.8,25.96,9.14,247.92,2.29
15:30.2,25.96,9.14,247.92,2.29
15:30.5,25.96,9.14,247.92,2.29
15:30.9,25.96,9.14,247.92,2.29
15:31.3,25.96,9.14,247.92,2.29
15:31.6,25.95,9.14,247.92,2.29
15:32.0,25.95,9.14,247.92,2.29
15:32.4,25.95,9.14,247.92,2.29
15:32.7,25.96,9.14,247.92,2.29
15:33.1,25.96,9.14,247.92,2.29
15:33.4,25.96,9.14,247.92,2.29
15:33.8,25.97,9.77,247.92,2.29
15:34.2,25.97,9.77,247.92,2.29
15:34.5,25.97,9.59,247.92,2.29
15:34.9,25.97,9.59,247.92,2.29
15:35.3,25.97,9.59,247.92,2.29
15:35.6,25.97,9.43,247.92,2.29
15:36.0,25.97,9.43,247.92,2.29
15:36.3,25.97,9.43,247.92,2.29
15:36.7,25.97,9.28,247.92,2.29
15:37.1,25.97,9.28,247.92,2.29
15:37.4,25.97,9.28,247.92,2.29
15:37.8,25.97,9.14,247.92,2.29
15:38.1,25.97,9.14,247.92,2.29
15:38.5,25.97,9.14,247.92,2.29
15:38.9,25.97,9.14,247.79,2.29
15:39.2,25.97,9.14,247.79,2.29
15:39.6,25.97,9.14,247.84,2.29
15:40.0,25.97,9.14,247.84,2.29
15:40.3,25.97,9.14,247.84,2.29
15:40.7,25.97,9.14,247.88,2.29
15:41.1,25.97,9.14,247.88,2.29
15:41.4,25.97,9.14,247.88,2.29
15:41.8,25.97,9.14,247.96,2.29
15:42.2,25.97,9.14,247.96,2.29
15:42.5,25.97,9.14,247.96,2.29
15:42.9,25.97,9.14,247.99,2.29
15:43.3,25.97,9.14,247.99,2.29
15:43.6,25.97,9.14,248.02,2.31
15:44.0,25.97,9.14,248.02,2.31
15:44.3,25.97,9.14,248.02,2.31
15:44.7,25.97,9.14,248.02,2.31
15:45.0,25.97,9.14,248.02,2.31
15:45.4,25.97,9.14,248.02,2.31
15:45.8,25.97,9.14,248.02,2.31
15:46.1,25.97,9.14,248.02,2.31
15:46.5,25.97,9.14,248.02,2.31
15:46.9,25.97,9.14,248.02,2.31
15:47.2,25.97,9.14,248.02,2.31
15:47.6,25.97,9.14,248.02,2.31
15:48.0,25.97,9.14,248.02,2.31
15:48.3,25.97,9.14,248.02,2.31
15:48.7,25.97,9.14,248.02,2.31
15:49.1,25.96,9.14,248.02,2.31
15:49.4,25.96,9.14,248.02,2.31
15:49.8,25.96,9.14,248.02,2.31
15:50.2,25.96,9.14,248.02,2.31
15:50.5,25.96,9.14,248.02,2.31
15:50.9,25.96,9.14,248.02,2.31
15:51.2,25.96,9.14,248.02,2.31
15:51.6,25.96,9.14,248.02,2.31
15:52.0,25.96,9.14,248.02,2.31
15:52.3,25.96,9.14,248.02,2.31
15:52.7,25.96,9.14,248.02,2.31
15:53.0,25.96,9.14,248.02,2.31
15:53.4,25.96,9.14,248.02,2.31
15:53.8,25.96,9.77,248.02,2.31
15:54.1,25.96,9.77,248.02,2.31
15:54.5,25.96,9.59,248.02,2.31
15:54.8,25.96,9.59,248.02,2.31
15:55.2,25.96,9.59,248.02,2.31
15:55.6,25.96,9.59,248.02,2.31
15:55.9,25.96,9.43,248.02,2.31
15:56.3,25.96,9.43,248.02,2.31
15:56.7,25.96,9.28,248.02,2.31
15:57.0,25.96,9.28,248.02,2.31
15:57.4,25.96,9.28,248.02,2.31
15:57.8,25.96,9.14,248.02,2.31
15:58.1,25.96,9.14,248.02,2.31
15:58.5,25.96,9.14,248.05,2.31
15:58.9,25.96,9.14,248.05,2.31
15:59.2,25.96,9.14,248.05,2.31
15:59.6,25.96,9.14,247.91,2.31
16:00.0,25.96,9.14,247.91,2.31
16:00.3,25.96,9.14,247.91,2.31
16:00.7,25.96,9.14,247.78,2.31
16:01.1,25.96,9.14,247.78,2.31
16:01.4,25.96,9.14,247.78,2.31
16:01.8,25.96,9.14,247.56,2.31
16:02.2,25.96,9.14,247.56,2.31
16:02.5,25.96,9.14,247.56,2.31
16:02.9,25.96,9.14,247.63,2.31
16:03.2,25.96,9.14,247.63,2.31
16:03.6,25.96,9.14,247.7,2.34
16:04.0,25.96,9.14,247.7,2.34
16:04.3,25.96,9.14,247.7,2.34
16:04.7,25.96,9.14,247.7,2.34
16:05.0,25.96,9.14,247.7,2.34
16:05.4,25.96,9.14,247.7,2.34
16:05.8,25.96,9.14,247.7,2.34
16:06.1,25.96,9.14,247.7,2.34
16:06.5,25.96,9.14,247.7,2.34
16:06.9,25.96,9.14,247.7,2.34
16:07.2,25.96,9.14,247.7,2.34
16:07.6,25.96,9.14,247.7,2.34
16:07.9,25.96,9.14,247.7,2.34
16:08.3,25.96,9.14,247.7,2.34
16:08.7,25.96,9.14,247.7,2.34
16:09.0,25.95,9.14,247.7,2.34
16:09.4,25.95,9.14,247.7,2.34
16:09.8,25.95,9.14,247.7,2.34
16:10.1,25.95,9.14,247.7,2.34
16:10.5,25.95,9.14,247.7,2.34
16:10.9,25.95,9.14,247.7,2.34
16:11.2,25.95,9.14,247.7,2.34
16:11.6,25.95,9.14,247.7,2.34
16:11.9,25.95,9.14,247.7,2.34
16:12.3,25.95,9.14,247.7,2.34
16:12.6,25.96,9.14,247.7,2.34
16:13.0,25.96,9.14,247.7,2.34
16:13.3,25.96,9.14,247.7,2.34
16:13.6,25.96,9.77,247.7,2.34
16:14.0,25.96,9.77,247.7,2.34
16:14.4,25.96,9.77,247.7,2.34
16:14.7,25.96,9.59,247.7,2.34
16:15.1,25.96,9.59,247.7,2.34
16:15.5,25.96,9.59,247.7,2.34
16:15.8,25.96,9.43,247.7,2.34
16:16.2,25.96,9.43,247.7,2.34
16:16.6,25.96,9.28,247.7,2.34
16:16.9,25.96,9.28,247.7,2.34
16:17.3,25.96,9.28,247.7,2.34
16:17.7,25.96,9.14,247.7,2.34
16:18.0,25.96,9.14,247.7,2.34
16:18.4,25.96,9.14,247.7,2.34
16:18.8,25.96,9.14,247.76,2.34
16:19.0,25.96,9.14,247.76,2.34
16:19.4,25.96,9.14,247.76,2.34
16:19.8,25.96,9.14,247.81,2.34
16:20.1,25.96,9.14,247.81,2.34
16:20.5,25.96,9.14,247.81,2.34
16:20.8,25.96,9.14,247.86,2.34
16:21.2,25.96,9.14,247.86,2.34
16:21.5,25.96,9.14,247.94,2.34
16:21.8,25.96,9.14,247.94,2.34
16:22.2,25.96,9.14,247.94,2.34
16:22.5,25.96,9.14,247.94,2.34
16:22.9,25.96,9.14,247.97,2.34
16:23.3,25.96,9.14,247.97,2.34
16:23.6,25.96,9.14,248,2.34
16:24.0,25.96,9.14,248,2.34
16:24.3,25.96,9.14,248,2.34
16:24.7,25.96,9.14,248,2.34
16:25.1,25.96,9.14,248,2.34
16:25.5,25.96,9.14,248,2.34
16:25.8,25.96,9.14,248,2.34
16:26.2,25.96,9.14,248,2.34
16:26.5,25.96,9.14,248,2.34
16:26.9,25.96,9.14,248,2.34
16:27.3,25.96,9.14,248,2.34
16:27.6,25.96,9.14,248,2.34
16:28.0,25.96,9.14,248,2.34
16:28.4,25.96,9.14,248,2.34
16:28.7,25.96,9.14,248,2.34
16:29.1,25.96,9.14,248,2.34
16:29.5,25.96,9.14,248,2.34
16:29.8,25.96,9.14,248,2.34
16:30.2,25.96,9.14,248,2.34
16:30.6,25.96,9.14,248,2.34
16:30.9,25.96,9.14,248,2.34
16:31.3,25.97,9.14,248,2.34
16:31.7,25.97,9.14,248,2.34
16:31.9,25.97,9.14,248,2.34
16:32.3,25.97,9.14,248,2.34
16:32.6,25.97,9.14,248,2.34
16:33.0,25.97,9.14,248,2.34
16:33.4,25.97,9.14,248,2.34
16:33.7,25.97,9.77,248,2.34
16:34.1,25.97,9.77,248,2.34
16:34.5,25.97,9.77,248,2.34
16:34.8,25.97,9.59,248,2.34
16:35.2,25.97,9.59,248,2.34
16:35.6,25.97,9.43,248,2.34
16:35.9,25.97,9.43,248,2.34
16:36.3,25.97,9.43,248,2.34
16:36.6,25.97,9.28,248,2.34
16:37.0,25.97,9.28,248,2.34
16:37.3,25.97,9.28,248,2.34
16:37.9,25.97,9.14,248,2.34
16:38.4,25.97,9.14,248,2.34
16:38.9,25.97,9.14,248.03,2.34
16:39.3,25.97,9.14,248.03,2.34
16:39.7,25.97,9.14,247.88,2.34
16:40.0,25.97,9.14,247.88,2.34
16:40.4,25.97,9.14,247.88,2.34
16:40.8,25.97,9.14,247.75,2.34
16:41.1,25.97,9.14,247.75,2.34
16:41.5,25.97,9.14,247.75,2.34
16:41.9,25.97,9.14,247.52,2.34
16:42.3,25.97,9.14,247.52,2.34
16:42.6,25.97,9.14,247.42,2.34
16:43.0,25.97,9.14,247.42,2.34
16:43.4,25.97,9.14,247.42,2.34
16:43.7,25.97,9.14,247.34,2.34
16:44.1,25.97,9.14,247.34,2.34
16:44.4,25.97,9.14,247.34,2.34
16:44.8,25.97,9.14,247.34,2.34
16:45.2,25.97,9.14,247.34,2.34
16:45.5,25.97,9.14,247.34,2.34
16:45.9,25.97,9.14,247.34,2.34
16:46.2,25.97,9.14,247.34,2.34
16:46.6,25.97,9.14,247.34,2.34
16:47.0,25.97,9.14,247.34,2.34
16:47.4,25.97,9.14,247.34,2.34
16:47.7,25.97,9.14,247.34,2.34
16:48.1,25.97,9.14,247.34,2.34
16:48.4,25.97,9.14,247.34,2.34
16:48.8,25.97,9.14,247.34,2.34
16:49.2,25.97,9.14,247.34,2.34
16:49.5,25.97,9.14,247.34,2.34
16:49.9,25.97,9.14,247.34,2.34
16:50.3,25.96,9.14,247.34,2.34
16:50.6,25.96,9.14,247.34,2.34
16:51.0,25.96,9.14,247.34,2.34
16:51.4,25.96,9.14,247.34,2.34
16:51.7,25.97,9.14,247.34,2.34
16:52.1,25.97,9.14,247.34,2.34
16:52.5,25.97,9.14,247.34,2.34
16:52.8,25.98,9.14,247.34,2.34
16:53.2,25.98,9.14,247.34,2.34
16:53.6,25.98,9.14,247.34,2.34
16:53.9,25.98,9.77,247.34,2.34
16:54.3,25.98,9.77,247.34,2.34
16:54.6,25.98,9.59,247.34,2.34
16:55.0,25.98,9.59,247.34,2.34
16:55.3,25.98,9.59,247.34,2.34
16:55.6,25.98,9.43,247.34,2.34
16:56.0,25.98,9.43,247.34,2.34
16:56.3,25.98,9.43,247.34,2.34
16:56.7,25.98,9.28,247.34,2.34
16:57.1,25.98,9.28,247.34,2.34
16:57.4,25.98,9.28,247.34,2.34
16:57.8,25.98,9.14,247.34,2.34
16:58.1,25.98,9.14,247.34,2.34
16:58.5,25.98,9.14,247.34,2.34
16:58.9,25.98,9.14,247.26,2.34
16:59.1,25.98,9.14,247.26,2.34
16:59.5,25.98,9.14,247.26,2.34
16:59.9,25.98,9.14,247.18,2.34
17:00.2,25.98,9.14,247.18,2.34
17:00.6,25.98,9.14,247.12,2.34
17:01.0,25.98,9.14,247.12,2.34
17:01.3,25.98,9.14,247.12,2.34
17:01.7,25.98,9.14,247.01,2.34
17:02.1,25.98,9.14,247.01,2.34
17:02.4,25.98,9.14,247.01,2.34
17:02.8,25.98,9.14,246.96,2.34
17:03.2,25.98,9.14,246.96,2.34
17:03.5,25.98,9.14,246.96,2.34
17:03.9,25.98,9.14,247.09,2.34
17:04.3,25.98,9.14,247.09,2.34
17:04.6,25.98,9.14,247.09,2.34
17:04.9,25.98,9.14,247.09,2.34
17:05.3,25.98,9.14,247.09,2.34
17:05.6,25.98,9.14,247.09,2.34
17:06.0,25.98,9.14,247.09,2.34
17:06.3,25.98,9.14,247.09,2.34
17:06.7,25.98,9.14,247.09,2.34
17:07.1,25.98,9.14,247.09,2.34
17:07.4,25.98,9.14,247.09,2.34
17:07.8,25.98,9.14,247.09,2.34
17:08.2,25.98,9.14,247.09,2.34
17:08.5,25.98,9.14,247.09,2.34
17:08.9,25.98,9.14,247.09,2.34
17:09.2,25.98,9.14,247.09,2.34
17:09.6,25.98,9.14,247.09,2.34
17:10.0,25.98,9.14,247.09,2.34
17:10.3,25.97,9.14,247.09,2.34
17:10.7,25.97,9.14,247.09,2.34
17:11.0,25.97,9.14,247.09,2.34
17:11.4,25.97,9.14,247.09,2.34
17:11.8,25.97,9.14,247.09,2.34
17:12.1,25.97,9.14,247.09,2.34
17:12.5,25.97,9.14,247.09,2.34
17:12.9,25.97,9.14,247.09,2.34
17:13.3,25.97,9.14,247.09,2.34
17:13.6,25.98,9.77,247.09,2.34
17:14.0,25.98,9.77,247.09,2.34
17:14.3,25.98,9.77,247.09,2.34
17:14.6,25.98,9.59,247.09,2.34
17:15.0,25.98,9.59,247.09,2.34
17:15.4,25.98,9.59,247.09,2.34
17:15.7,25.98,9.43,247.09,2.34
17:16.1,25.98,9.43,247.09,2.34
17:16.4,25.98,9.43,247.09,2.34
17:16.8,25.98,9.28,247.09,2.34
17:17.2,25.98,9.28,247.09,2.34
17:17.5,25.98,9.28,247.09,2.34
17:17.9,25.98,9.14,247.09,2.34
17:18.3,25.98,9.14,247.09,2.34
17:18.6,25.98,9.14,247.2,2.34
17:19.0,25.98,9.14,247.2,2.34
17:19.3,25.98,9.14,247.2,2.34
17:19.7,25.98,9.14,247.3,2.34
17:20.1,25.98,9.14,247.3,2.34
17:20.4,25.98,9.14,247.3,2.34
17:20.8,25.98,9.14,247.4,2.34
17:21.2,25.98,9.14,247.4,2.34
17:21.5,25.98,9.14,247.55,2.34
17:21.9,25.98,9.14,247.55,2.34
17:22.3,25.98,9.14,247.55,2.34
17:22.6,25.98,9.14,247.62,2.34
17:23.0,25.98,9.14,247.62,2.34
17:23.4,25.98,9.14,247.62,2.34
17:23.7,25.98,9.14,247.62,2.34
17:24.1,25.98,9.14,247.62,2.34
17:24.5,25.98,9.14,247.62,2.34
17:24.8,25.98,9.14,247.62,2.34
17:25.2,25.98,9.14,247.62,2.34
17:25.6,25.98,9.14,247.68,2.34
17:25.9,25.98,9.14,247.68,2.34
17:26.3,25.98,9.14,247.68,2.33
