Time,Temperature,pH,Turbidity,DissolvedOxygen
2023-03-07 20:31:58.249740,25.47,6.37,402.07,15.33
2023-03-07 20:31:58.309438,25.88,6.68,420.71,16.79
2023-03-07 20:31:58.366323,25.42,6.11,353.18,15.44
2023-03-07 20:31:58.431404,25.92,6.66,420.96,15.03
2023-03-07 20:31:58.495453,25.63,6.05,342.02,16.80
2023-03-07 20:31:58.567480,25.68,6.27,379.02,16.93
2023-03-07 20:31:58.606441,25.46,6.03,338.20,15.83
2023-03-07 20:31:58.662161,25.85,6.73,315.16,15.36
2023-03-07 20:31:58.713133,25.01,6.72,420.21,16.05
2023-03-07 20:31:58.761649,25.87,6.04,425.57,15.06
2023-03-07 20:31:58.815623,25.65,6.09,390.50,15.95
2023-03-07 20:31:58.864592,25.71,6.06,301.79,16.03
2023-03-07 20:31:58.913435,25.76,6.44,323.24,16.43
2023-03-07 20:31:58.964407,25.09,6.15,405.23,15.61
2023-03-07 20:31:59.019375,25.09,6.25,316.66,15.29
2023-03-07 20:31:59.081343,25.57,6.89,377.56,16.76
2023-03-07 20:31:59.142306,25.36,6.89,307.75,16.73
2023-03-07 20:31:59.193275,25.41,6.99,336.93,15.37
2023-03-07 20:31:59.246245,25.76,6.56,339.30,16.95
2023-03-07 20:31:59.300213,25.59,6.53,341.65,16.84
2023-03-07 20:31:59.356182,25.81,6.75,313.46,15.15
2023-03-07 20:31:59.412150,25.42,6.42,347.59,16.47
2023-03-07 20:31:59.462121,25.94,6.08,383.62,16.28
2023-03-07 20:31:59.512346,25.55,6.63,328.50,16.86
2023-03-07 20:31:59.570313,25.88,6.08,350.88,16.71
2023-03-07 20:31:59.620284,25.95,6.91,376.51,15.59
2023-03-07 20:31:59.671255,25.31,7.00,433.02,16.60
2023-03-07 20:31:59.725228,25.58,6.43,350.98,16.64
2023-03-07 20:31:59.776222,25.97,6.06,444.00,15.82
2023-03-07 20:31:59.828189,25.61,6.99,339.36,15.62
2023-03-07 20:31:59.882158,25.97,6.04,394.94,16.03
2023-03-07 20:31:59.933129,25.26,6.65,405.66,15.32
2023-03-07 20:31:59.980105,25.64,6.50,347.12,15.98
2023-03-07 20:32:00.035071,25.29,6.18,327.04,15.88
2023-03-07 20:32:00.085041,25.33,6.28,335.87,16.80
2023-03-07 20:32:00.134017,25.01,6.88,429.73,15.94
2023-03-07 20:32:00.184983,25.74,6.94,343.16,15.65
2023-03-07 20:32:00.234955,25.46,6.75,408.10,16.69
2023-03-07 20:32:00.265849,25.92,6.23,423.43,16.24
2023-03-07 20:32:00.305853,25.88,6.04,363.02,15.72
2023-03-07 20:32:00.355873,25.25,6.27,335.11,15.05
2023-03-07 20:32:00.395870,25.24,6.12,384.88,15.43
2023-03-07 20:32:00.445863,25.45,6.12,322.95,16.46
2023-03-07 20:32:00.475867,25.46,6.43,408.29,16.43
2023-03-07 20:32:00.525839,25.94,6.31,414.65,16.86
2023-03-07 20:32:00.575837,25.90,6.11,314.28,16.65
2023-03-07 20:32:00.615835,25.86,6.89,413.15,15.45
2023-03-07 20:32:00.665831,25.97,6.40,410.51,16.51
2023-03-07 20:32:00.705833,25.97,6.81,339.69,15.97
2023-03-07 20:32:00.735851,25.06,6.23,342.04,15.93
2023-03-07 20:32:00.785850,25.78,6.08,390.63,16.62
2023-03-07 20:32:00.815822,25.18,6.64,448.07,16.76
2023-03-07 20:32:00.845844,25.46,6.02,339.56,15.71
2023-03-07 20:32:00.865848,25.67,6.75,309.05,15.54
2023-03-07 20:32:00.915841,25.22,6.11,421.55,16.08
2023-03-07 20:32:01.139730,25.57,6.16,427.11,15.44
2023-03-07 20:32:01.793679,25.24,6.13,318.41,16.85
2023-03-07 20:32:01.858174,25.70,6.46,312.64,16.64
2023-03-07 20:32:01.909206,25.87,6.92,319.99,15.40
2023-03-07 20:32:01.973733,25.03,6.59,323.71,16.12
2023-03-07 20:32:02.018957,25.80,6.83,371.27,15.96
2023-03-07 20:32:02.053928,25.38,6.23,390.27,15.67
2023-03-07 20:32:02.103927,25.09,6.68,427.44,15.31
2023-03-07 20:32:02.153922,25.77,6.97,420.64,16.18
2023-03-07 20:32:02.203920,25.99,6.09,432.50,16.17
2023-03-07 20:32:02.253918,25.69,6.79,426.52,16.78
2023-03-07 20:32:02.313937,25.99,6.89,419.12,16.34
2023-03-07 20:32:02.353910,25.15,6.67,376.44,16.31
2023-03-07 20:32:02.403908,25.65,6.54,377.16,15.99
2023-03-07 20:32:02.453905,25.20,6.68,442.75,15.92
2023-03-07 20:32:02.493912,25.52,6.50,449.26,16.22
2023-03-07 20:32:02.563686,25.27,6.63,426.00,15.13
2023-03-07 20:32:02.621046,25.53,6.26,445.26,15.94
2023-03-07 20:32:02.658030,25.11,6.81,328.59,15.96
2023-03-07 20:32:02.713995,25.70,6.54,385.95,16.36
2023-03-07 20:32:02.764964,25.67,6.57,304.37,15.26
2023-03-07 20:32:02.816956,25.39,6.75,341.94,15.01
2023-03-07 20:32:02.863498,25.49,6.57,435.98,16.94
2023-03-07 20:32:02.963318,25.33,6.31,412.64,15.47
2023-03-07 20:32:03.054266,25.56,6.33,414.79,15.40
2023-03-07 20:32:03.107240,25.06,6.39,402.92,15.91
2023-03-07 20:32:03.166203,25.67,6.61,396.03,15.89
2023-03-07 20:32:03.222171,25.04,6.80,342.54,16.94
2023-03-07 20:32:03.276140,25.29,6.41,322.18,15.92
2023-03-07 20:32:03.332129,25.18,6.04,423.22,16.31
2023-03-07 20:32:03.365090,25.44,6.58,431.64,16.65
2023-03-07 20:32:03.414082,25.78,6.99,421.03,16.00
2023-03-07 20:32:03.462039,25.65,6.59,353.12,16.84
2023-03-07 20:32:03.513004,25.90,6.59,344.46,16.96
2023-03-07 20:32:03.572991,25.95,6.83,406.46,15.56
2023-03-07 20:32:03.631957,25.96,6.96,373.35,15.66
2023-03-07 20:32:03.680928,25.29,6.68,352.90,15.71
2023-03-07 20:32:03.733877,25.81,6.84,421.67,15.39
2023-03-07 20:32:03.820827,25.89,6.58,321.16,16.99
2023-03-07 20:32:03.939760,25.25,6.23,350.28,15.34
2023-03-07 20:32:04.038702,25.35,6.85,377.63,16.77
2023-03-07 20:32:04.102665,25.56,6.77,308.99,15.28
2023-03-07 20:32:04.156637,25.61,6.59,373.88,15.01
2023-03-07 20:32:04.213606,25.61,6.98,351.25,16.26
2023-03-07 20:32:04.268571,25.38,6.03,317.71,16.29
2023-03-07 20:32:04.322540,25.96,6.28,370.04,15.05
2023-03-07 20:32:04.381508,25.90,6.17,344.56,15.89
2023-03-07 20:32:04.434476,25.24,6.03,343.84,16.06
2023-03-07 20:32:04.491443,25.85,6.43,432.51,15.99
2023-03-07 20:32:04.550410,25.94,6.17,300.93,15.67
2023-03-07 20:32:04.615372,25.17,6.72,337.24,16.88
2023-03-07 20:32:04.684336,25.34,6.91,437.48,16.89
2023-03-07 20:32:04.757291,25.29,6.94,374.07,15.58
2023-03-07 20:32:04.824251,25.42,6.14,434.84,16.80
2023-03-07 20:32:04.905208,25.78,6.88,343.56,15.59
2023-03-07 20:32:04.976165,25.54,6.59,391.61,15.02
2023-03-07 20:32:05.038134,25.72,6.62,329.98,15.66
2023-03-07 20:32:05.100095,25.13,6.19,300.98,16.19
2023-03-07 20:32:05.168296,25.12,6.43,333.62,15.47
2023-03-07 20:32:05.233426,25.60,6.53,406.28,15.62
2023-03-07 20:32:05.281397,25.86,6.86,389.02,16.29
2023-03-07 20:32:05.322345,25.52,6.83,355.64,16.87
2023-03-07 20:32:05.377161,25.05,6.73,421.27,15.44
2023-03-07 20:32:05.440124,25.88,6.74,415.66,16.74
2023-03-07 20:32:05.505086,25.71,6.18,375.29,15.47
2023-03-07 20:32:05.574046,25.06,6.86,302.46,15.40
2023-03-07 20:32:05.636011,26.00,6.63,385.33,15.76
2023-03-07 20:33:03.037740,25.74,6.00,397.99,15.32
2023-03-07 20:33:04.083379,25.59,6.51,388.06,15.40
2023-03-07 20:33:05.073258,25.94,6.84,429.17,15.72
2023-03-07 20:33:06.041639,25.58,6.37,328.75,15.10
2023-03-07 20:33:06.859826,25.23,6.35,367.55,16.01
2023-03-07 20:33:07.836953,25.68,6.99,440.30,15.18
2023-03-07 20:33:08.849140,25.85,6.61,392.34,16.17
2023-03-07 20:33:09.832302,25.49,6.46,419.99,16.94
2023-03-07 20:33:10.903747,25.43,6.88,376.38,16.00
2023-03-07 20:33:12.065110,25.98,6.83,408.07,15.91
2023-03-07 20:33:13.125063,25.08,6.07,342.68,15.32
2023-03-07 20:33:14.122163,25.17,6.68,373.41,15.74
2023-03-07 20:33:15.077640,25.41,6.18,423.43,15.44
2023-03-07 20:33:16.083881,25.83,6.05,357.54,15.81
2023-03-07 20:33:17.073297,25.84,6.28,328.74,15.53
2023-03-07 20:33:18.159653,25.71,6.77,333.95,15.29
2023-03-07 20:33:19.120241,25.91,6.93,435.14,16.01
2023-03-07 20:33:20.135925,25.33,6.89,327.33,16.01
2023-03-07 20:33:21.129972,25.22,6.52,333.41,15.70
2023-03-07 20:33:22.102445,25.55,6.97,339.00,15.39
2023-03-07 20:33:23.150593,25.45,6.78,391.99,16.36
2023-03-07 20:33:24.133211,25.66,6.36,325.14,15.67
2023-03-07 20:33:25.195135,25.71,6.03,388.54,15.80
2023-03-07 20:33:26.158452,25.18,6.80,379.82,15.74
2023-03-07 20:33:27.372322,25.79,6.11,312.86,15.10
2023-03-07 20:33:28.357145,25.14,6.40,353.20,15.61
2023-03-07 20:33:29.585209,25.68,6.91,366.38,16.43
2023-03-07 20:33:30.629813,25.20,6.15,404.29,15.76
2023-03-07 20:33:31.668817,25.82,6.58,405.65,16.53
2023-03-07 20:33:32.724884,25.55,6.60,348.72,15.62
2023-03-07 20:33:33.704226,25.19,6.03,377.60,15.01
2023-03-07 20:33:34.731481,25.91,6.36,373.80,16.79
2023-03-07 20:33:35.722046,25.65,6.12,325.39,16.03
2023-03-07 20:33:36.771537,25.34,6.08,412.92,16.63
2023-03-07 20:33:37.753750,25.29,6.32,373.52,16.43
2023-03-07 20:33:38.714924,25.22,6.91,354.22,15.31
2023-03-07 20:33:39.720927,25.63,6.46,313.28,15.83
2023-03-07 20:33:40.710194,25.33,6.13,367.28,15.44
2023-03-07 20:33:41.754414,25.08,6.43,389.83,16.09
2023-03-07 20:33:42.782062,25.88,6.58,328.83,15.27
2023-03-07 20:33:43.850280,25.93,6.85,318.20,16.97
2023-03-07 20:33:44.861917,25.52,6.45,385.75,15.15
2023-03-07 20:33:45.861935,25.68,6.34,302.00,15.87
2023-03-07 20:33:46.912187,25.65,6.63,338.97,15.59
2023-03-07 20:33:48.125540,25.93,6.10,305.82,15.43
2023-03-07 20:33:49.685922,25.99,6.72,351.92,15.23
2023-03-07 20:34:24.028137,25.59,6.44,433.24,15.82
2023-03-07 20:34:24.107089,25.35,6.07,404.92,16.46
2023-03-07 20:34:24.164058,25.04,6.18,345.79,16.56
2023-03-07 20:34:24.216029,25.44,6.76,395.04,16.95
2023-03-07 20:34:24.268000,25.84,6.55,321.94,15.46
2023-03-07 20:34:24.322965,25.25,6.75,366.67,16.24
2023-03-07 20:34:24.374941,25.53,6.23,314.23,16.75
2023-03-07 20:34:24.428905,25.25,6.81,406.66,15.62
2023-03-07 20:34:24.481874,25.13,6.98,402.65,15.49
2023-03-07 20:34:24.526850,25.47,6.85,446.16,15.56
2023-03-07 20:34:24.575821,25.10,6.56,348.71,16.87
2023-03-07 20:34:24.623792,25.76,6.39,384.55,16.98
2023-03-07 20:34:24.667769,25.46,6.28,334.24,16.69
2023-03-07 20:34:24.714742,25.35,6.74,364.23,16.26
2023-03-07 20:34:24.762714,25.39,6.10,414.85,16.08
2023-03-07 20:34:24.809687,25.70,6.29,302.08,16.91
2023-03-07 20:34:24.851662,25.02,6.03,345.40,16.37
2023-03-07 20:34:24.898636,25.89,6.35,328.73,15.46
2023-03-07 20:34:24.954608,26.00,6.01,418.88,15.98
2023-03-07 20:34:25.003587,25.69,6.61,324.58,15.84
2023-03-07 20:34:25.048553,25.19,6.72,347.17,15.55
2023-03-07 20:34:25.097525,25.16,6.55,423.23,15.27
2023-03-07 20:34:25.151492,25.21,6.29,324.66,15.19
2023-03-07 20:34:25.202464,25.94,6.64,305.02,16.77
2023-03-07 20:34:25.259430,25.42,6.50,401.29,15.23
2023-03-07 20:34:25.319402,25.44,6.44,446.30,16.14
2023-03-07 20:34:25.376363,25.07,6.22,303.95,16.00
2023-03-07 20:34:25.438466,25.05,6.70,340.27,16.24
2023-03-07 20:34:25.487436,25.23,6.71,329.42,15.04
2023-03-07 20:34:25.542400,25.34,6.25,343.03,15.17
2023-03-07 20:34:25.606371,25.12,6.22,404.04,15.17
2023-03-07 20:34:25.657332,25.52,6.67,418.79,15.22
2023-03-07 20:34:25.702642,25.19,6.18,376.26,15.09
2023-03-07 20:34:25.754617,25.05,6.45,354.52,16.31
2023-03-07 20:34:25.801583,25.81,6.63,429.77,16.04
2023-03-07 20:34:25.859550,25.92,6.97,416.38,15.12
2023-03-07 20:34:25.905529,25.68,6.19,397.20,15.73
2023-03-07 20:34:25.953505,25.81,6.55,390.91,15.78
2023-03-07 20:34:26.002472,25.78,6.76,349.73,16.14
2023-03-07 20:34:26.054448,25.47,6.98,361.48,16.68
2023-03-07 20:34:26.101418,25.79,6.95,345.21,15.23
2023-03-07 20:34:26.150389,25.95,6.13,447.63,16.89
2023-03-07 20:34:26.200360,25.72,6.20,432.78,16.03
2023-03-07 20:34:26.249333,25.03,6.12,363.12,15.12
2023-03-07 20:34:26.300305,25.30,6.27,357.24,16.90
2023-03-07 20:34:26.349275,25.14,6.05,382.54,16.49
2023-03-07 20:34:26.405247,25.07,6.79,321.90,15.08
2023-03-07 20:34:26.467211,25.31,6.99,372.76,16.42
2023-03-07 20:34:26.516180,25.14,6.65,413.11,15.53
2023-03-07 20:34:26.573152,25.84,6.85,355.81,15.69
2023-03-07 20:34:26.623124,25.63,6.15,381.58,16.12
2023-03-07 20:34:26.677086,25.75,6.77,316.39,16.60
2023-03-07 20:34:26.725066,25.17,6.19,366.21,15.41
2023-03-07 20:34:26.776031,25.23,6.20,449.44,16.37
2023-03-07 20:34:26.823009,25.22,6.67,445.56,15.79
2023-03-07 20:34:26.869976,25.60,6.61,321.42,16.87
2023-03-07 20:34:26.920948,25.65,6.41,393.36,15.11
2023-03-07 20:34:26.969921,25.52,6.74,420.35,16.92
2023-03-07 20:34:27.018890,25.73,6.69,387.13,15.06
2023-03-07 20:34:27.075859,25.78,6.39,441.62,16.01
2023-03-07 20:34:27.120833,25.89,6.09,411.80,15.69
2023-03-07 20:34:27.170803,25.66,6.41,334.32,15.96
2023-03-07 20:34:27.219775,25.41,6.38,325.51,16.78
2023-03-07 20:34:27.271748,25.74,6.53,360.68,16.69
2023-03-07 20:34:27.321718,25.98,6.23,343.02,16.39
2023-03-07 20:34:27.371689,25.01,6.73,441.86,16.83
2023-03-07 20:34:27.421661,25.97,6.12,355.21,16.83
2023-03-07 20:34:27.471632,25.30,6.68,445.53,15.18
2023-03-07 20:34:27.519604,25.76,6.01,358.92,16.67
2023-03-07 20:34:27.579569,25.27,6.26,362.47,15.59
2023-03-07 20:34:27.628544,25.02,6.68,448.03,15.50
2023-03-07 20:34:27.678513,25.52,6.13,363.21,16.64
2023-03-07 20:34:27.727488,25.07,6.81,307.28,15.24
2023-03-07 20:34:27.776459,25.10,6.99,392.92,15.14
2023-03-07 20:34:27.826433,25.50,6.44,419.72,15.88
2023-03-07 20:34:27.879398,25.40,6.41,348.08,16.44
2023-03-07 20:34:27.930369,25.93,6.58,444.32,16.67
2023-03-07 20:34:27.981341,25.67,6.16,392.79,16.71
2023-03-07 20:34:28.029312,25.75,6.63,420.36,15.11
2023-03-07 20:34:28.084282,25.75,6.66,348.71,15.41
2023-03-07 20:34:28.133252,25.07,6.83,387.73,16.55
2023-03-07 20:34:28.192220,25.15,6.26,413.29,16.09
2023-03-07 20:34:28.241195,25.87,6.71,359.74,15.05
2023-03-07 20:34:28.294165,25.95,6.26,352.72,15.40
2023-03-07 20:34:28.344136,25.66,6.41,317.28,15.09
2023-03-07 20:34:28.390109,25.06,6.43,430.07,16.62
2023-03-07 20:34:28.438077,25.67,6.98,380.90,15.89
2023-03-07 20:34:28.487053,25.34,6.77,308.31,15.65
2023-03-07 20:34:28.543020,25.96,6.40,300.05,16.23
2023-03-07 20:34:28.598985,25.17,6.11,376.90,16.22
2023-03-07 20:34:28.650958,25.99,6.29,364.29,15.59
2023-03-07 20:34:28.701926,26.00,6.37,428.73,16.30
2023-03-07 20:34:28.752899,25.70,6.15,438.19,16.75
2023-03-07 20:34:28.804870,25.71,6.38,400.13,15.91
2023-03-07 20:34:28.859836,25.41,6.92,326.93,15.25
2023-03-07 20:34:28.910808,25.44,6.86,394.43,15.10
2023-03-07 20:34:28.961782,25.84,6.64,306.67,16.80
2023-03-07 20:34:29.008753,25.83,6.61,365.26,15.93
2023-03-07 20:34:29.056725,25.58,6.18,436.71,15.87
2023-03-07 20:34:29.106701,25.78,6.32,363.78,15.44
2023-03-07 20:34:29.156669,25.42,6.84,358.36,16.67
2023-03-07 20:34:29.205638,25.86,6.96,436.23,16.19
2023-03-07 20:34:29.255611,25.89,6.66,364.98,15.96
2023-03-07 20:34:29.306582,25.07,6.14,441.68,15.03
2023-03-07 20:34:29.356556,25.50,6.08,325.51,15.25
2023-03-07 20:34:29.417710,25.99,6.32,302.68,15.65
2023-03-07 20:34:29.468683,25.58,6.09,399.26,15.25
2023-03-07 20:34:29.518650,25.89,6.86,332.03,15.42
2023-03-07 20:34:29.572619,25.81,6.53,426.01,16.60
2023-03-07 20:34:29.639582,25.87,6.16,330.07,15.14
2023-03-07 20:34:29.694027,25.79,6.12,332.24,16.48
2023-03-07 20:34:29.755979,25.33,6.33,383.74,15.59
2023-03-07 20:34:29.817941,25.74,6.15,319.89,16.34
2023-03-07 20:34:29.878907,25.29,6.82,326.20,15.59
2023-03-07 20:34:29.935876,25.15,6.36,362.75,15.17
2023-03-07 20:34:29.992845,25.16,6.92,397.55,16.26
2023-03-07 20:34:30.047813,25.34,6.25,436.61,16.23
2023-03-07 20:34:30.107781,25.15,6.31,419.48,16.81
2023-03-07 20:34:30.171740,25.92,6.50,418.16,15.25
2023-03-07 20:34:30.225709,25.91,6.71,301.46,16.92
2023-03-07 20:34:30.276683,25.83,6.51,384.59,15.96
2023-03-07 20:34:30.324655,25.46,6.81,388.23,16.17
2023-03-07 20:34:30.372629,25.44,6.50,317.68,16.57
2023-03-07 20:34:30.423596,25.06,6.61,333.04,15.41
2023-03-07 20:34:30.472570,25.82,6.50,312.93,15.15
2023-03-07 20:34:30.520542,25.17,6.39,425.32,16.54
2023-03-07 20:34:30.572510,25.61,6.01,337.20,16.50
2023-03-07 20:34:30.623483,25.24,6.47,350.45,15.85
2023-03-07 20:34:30.672457,25.43,6.41,431.86,16.35
2023-03-07 20:34:30.720428,25.89,6.77,323.93,15.83
2023-03-07 20:34:30.771397,25.12,6.45,395.66,15.69
2023-03-07 20:34:30.843361,25.05,6.40,402.80,15.42
2023-03-07 20:34:30.912323,25.52,6.75,364.09,15.00
2023-03-07 20:34:30.974282,25.81,6.92,360.57,16.10
2023-03-07 20:34:31.030254,25.79,6.97,420.97,16.43
2023-03-07 20:34:31.077225,25.30,6.78,339.96,16.20
2023-03-07 20:34:31.122196,25.45,6.66,406.23,15.89
2023-03-07 20:34:31.171168,25.36,6.86,390.61,16.99
2023-03-07 20:34:31.219140,25.84,6.77,444.28,15.36
2023-03-07 20:34:31.271110,25.78,6.98,321.80,15.29
2023-03-07 20:34:31.324080,25.33,6.08,311.05,16.23
2023-03-07 20:34:31.372052,25.49,6.33,373.45,16.47
2023-03-07 20:34:31.421031,25.49,6.34,357.01,16.25
2023-03-07 20:34:31.480990,25.72,6.37,350.77,16.06
